0.25,6.32,6.32,9.20,12.65
0.50,8.59,8.90,12.18,17.51
0.75,11.04,12.18,13.09,18.17
1.00,10.60,12.14,12.56,17.72
1.25,12.57,14.12,14.61,19.69
1.50,14.49,16.06,16.62,21.62
1.75,16.38,17.95,18.57,23.50
2.00,18.21,19.80,20.49,25.33
2.25,20.01,21.60,22.35,27.12
2.50,21.75,23.36,24.17,28.86
2.75,23.46,25.07,25.95,30.55
3.00,26.37,28.08,29.06,33.81
3.25,28.23,29.96,31.00,35.70
3.50,30.07,31.81,32.92,37.57
3.75,31.88,33.64,34.81,39.41
4.00,33.67,35.45,36.68,41.23
4.25,35.44,37.23,38.53,43.02
4.50,37.18,38.99,40.35,44.79
4.75,38.90,40.73,42.15,46.54
5.00,40.60,42.44,43.92,48.26
5.5,44.19,46.08,47.68,51.94
6,47.74,49.66,51.39,55.58
6.5,51.24,53.20,55.05,59.17
7,54.69,56.70,58.67,62.71
7.5,58.10,60.14,62.23,66.20
8,61.46,63.54,65.75,69.64
8.5,64.77,66.89,69.22,73.04
9,68.03,70.20,72.64,76.39
9.5,71.25,73.45,76.01,79.69
10,74.43,76.66,79.33,82.94
11,81.16,83.48,86.39,89.88
12,87.80,90.20,93.34,96.72
13,94.34,96.83,100.20,103.46
14,100.79,103.37,106.96,110.11
15,107.15,109.81,113.63,116.66
16,113.42,116.15,120.19,123.12
17,119.59,122.40,126.66,129.48
18,125.67,128.56,133.03,135.74
19,131.66,134.62,139.31,141.91
20,137.55,140.59,145.48,147.98
