"Абакан","Abakan"
"Актау","Aktau"
"Актобе","Aktobe"
"Алдан","Aldan"
"Алматы","Almati"
"Анадырь","Anadir"
"Апатиты","Apatiti"
"Арзамас","Arzamas"
"Армавир","Armavir"
"Архангельск","Arkhangelsk"
"Астрахань","Astrakhan"
"Атырау","Atirau"
"Ачинск","Achinsk"
"Баку","Baku"
"Балаково","Balakovo"
"Балашов","Balashov"
"Барнаул","Barnaul"
"Белгород","Belgorod"
"Березники","Berezniki"
"Бийск","Biisk"
"Биробиджан","Birobidzhan"
"Бишкек","Bishkek"
"Благовещенск","Blagoveshchensk"
"Братск","Bratsk"
"Брест","Brest"
"Брянск","Bryansk"
"Бузулук","Buzuluk"
"Великий Новгород","Velikii Novgorod"
"Верхняя Салда","Verkhnyaya Salda"
"Владивосток","Vladivostok"
"Владикавказ","Vladikavkaz"
"Владимир","Vladimir"
"Волгоград","Volgograd"
"Волгодонск","Volgodonsk"
"Вологда","Vologda"
"Волхов","Volkhov"
"Воркута","Vorkuta"
"Воронеж","Voronezh"
"Выборг","Viborg"
"Выкса","Viksa"
"Глазов","Glazov"
"Горно-Алтайск","Gorno-Altaisk"
"Гродно","Grodno"
"Грозный","Groznii"
"Губкинский","Gubkinskii"
"Ейск","Yeisk"
"Екатеринбург","Yekaterinburg"
"Елец","Yelets"
"Жалал-Абад","Zhalal-Abad"
"Жезказган","Zhezkazgan"
"Железногорск","Zheleznogorsk"
"Зеленогорск","Zelenogorsk"
"Златоуст","Zlatoust"
"Иваново","Ivanovo"
"Ижевск","Izhevsk"
"Иркутск","Irkutsk"
"Ишим","Ishim"
"Йошкар-Ола","Yoshkar-Ola"
"Казань","Kazan"
"Калининград","Kaliningrad"
"Калуга","Kaluga"
"Каменск-Шахтинский","Kamensk-Shakhtinskii"
"Камышин","Kamishin"
"Канск","Kansk"
"Караганда","Karaganda"
"Каракол","Karakol"
"Кемерово","Kemerovo"
"Киев","Kiev"
"Киров","Kirov"
"Кишинев","Kishinev"
"Клинцы","Klintsi"
"Когалым","Kogalim"
"Кокшетау","Kokshetau"
"Комсомольск-на-Амуре","Komsomolsk-na-Amure"
"Костанай","Kostanai"
"Костомукша","Kostomuksha"
"Кострома","Kostroma"
"Котлас","Kotlas"
"Краснодар","Krasnodar"
"Краснокаменск","Krasnokamensk"
"Краснотурьинск","Krasnoturinsk"
"Красноярск","Krasnoyarsk"
"Курган","Kurgan"
"Курск","Kursk"
"Кызыл","Kizil"
"Лабытнанги","Labitnangi"
"Ленинск-Кузнецкий","Leninsk-Kuznetskii"
"Ленск","Lensk"
"Лесосибирск","Lesosibirsk"
"Липецк","Lipetsk"
"Магадан","Magadan"
"Магнитогорск","Magnitogorsk"
"Майкоп","Maikop"
"Махачкала","Makhachkala"
"Минск","Minsk"
"Мирный","Mirnii"
"Могилев","Mogilev"
"Москва","Moskova"
"Мурманск","Murmansk"
"Набережные Челны","Naberezhnie Chelni"
"Надым","Nadim"
"Назрань","Nazran"
"Нальчик","Nalchik"
"Нарьян-Мар","Naryan-Mar"
"Находка","Nakhodka"
"Нерюнгри","Neryungri"
"Нефтекамск","Neftekamsk"
"Нижневартовск","Nizhnevartovsk"
"Нижний Новгород","Nizhnii Novgorod"
"Нижний Тагил","Nizhnii Tagil"
"Новокузнецк","Novokuznetsk"
"Новороссийск","Novorossiisk"
"Новосибирск","Novosibirsk"
"Новоуральск","Novouralsk"
"Новый Уренгой","Novii Urengoi"
"Норильск","Norilsk"
"Ноябрьск","Noyabrsk"
"Нур-Султан","Nur-Sultan"
"Нягань","Nyagan"
"Обнинск","Obninsk"
"Озёрск","Ozyorsk"
"Октябрьский","Oktyabrskii"
"Омск","Omsk"
"Орел","Orel"
"Оренбург","Orenburg"
"Орск","Orsk"
"Ош","Osh"
"Павлодар","Pavlodar"
"Пенза","Penza"
"Пермь","Perm"
"Петрозаводск","Petrozavodsk"
"Петропавловск-Камчатский","Petropavlovsk-Kamchatskii"
"Печора","Pechora"
"Псков","Pskov"
"Пятигорск","Pyatigorsk"
"Рига","Riga"
"Россошь","Rossosh"
"Ростов-на-Дону","Rostov-na-Donu"
"Рубцовск","Rubtsovsk"
"Рыбинск","Ribinsk"
"Рязань","Ryazan"
"Салехард","Salekhard"
"Самара","Samara"
"Санкт-Петербург","Sankt-Peterburg"
"Саранск","Saransk"
"Саратов","Saratov"
"Саров","Sarov"
"Севастополь","Sevastopol"
"Семей","Semei"
"Симферополь","Simferopol"
"Смоленск","Smolensk"
"Советская Гавань","Sovetskaya Gavan"
"Сочи","Sochi"
"Ставрополь","Stavropol"
"Стамбул","Stambul"
"Стерлитамак","Sterlitamak"
"Сургут","Surgut"
"Сызрань","Sizran"
"Сыктывкар","Siktivkar"
"Талдыкорган","Taldikorgan"
"Тамбов","Tambov"
"Тараз","Taraz"
"Ташкент","Tashkent"
"Тбилиси","Tbilisi"
"Тверь","Tver"
"Тимашевск","Timashevsk"
"Тихвин","Tikhvin"
"Тобольск","Tobolsk"
"Тольятти","Tolyatti"
"Томск","Tomsk"
"Туапсе","Tuapse"
"Тула","Tula"
"Тында","Tinda"
"Тюмень","Tyumen"
"Улан-Удэ","Ulan-Ude"
"Ульяновск","Ulyanovsk"
"Уральск","Uralsk"
"Усинск","Usinsk"
"Усть-Илимск","Ust-Ilimsk"
"Усть-Каменогорск","Ust-Kamenogorsk"
