"0,50","48,00","54,00","60,00"
1,61.15,69.55,75.55
1.50,74.30,85.10,93.50
2,87.45,100.65,111.45
2.50,100.60,116.20,129.40
3,113.75,131.75,147.35
3.5,126.90,147.30,165.30
4,140.05,162.85,183.25
4.5,153.20,178.40,201.20
5,166.35,193.95,219.15
6,181.90,211.90,239.50
7,197.45,229.85,259.85
8,213.00,247.80,280.20
9,228.55,265.75,300.55
10,244.10,283.70,320.90
11,259.65,301.65,341.25
12,275.20,319.60,361.60
13,290.75,337.55,381.95
14,306.30,355.50,402.30
15,321.85,373.45,422.65
16,337.40,391.40,443.00
17,352.95,409.35,463.35
18,368.50,427.30,483.70
19,384.05,445.25,504.05
20,399.60,463.20,524.40
